"フィーチャID","形状(WKT)","施設名称","所在地","診療科目","開設者分類","病床数","救急告示病院","災害拠点病院","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"870","POINT(136.737925085522 35.1875767580958)","いしがき歯科","津島市寺前町三丁目２１－１","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"873","POINT(137.023133841574 34.9840135147419)","いしかわ歯科","刈谷市半城土町乙本郷１１３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"874","POINT(137.067362001413 35.0824739293819)","いしかわ歯科","みよし市園原3-8-9","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"877","POINT(136.8690169 35.22626411)","いしだ歯科","名古屋市西区山木２－１１１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"878","POINT(136.9667845 35.25068925)","いしだ歯科クリニック","春日井市八田町２丁目１－２１","歯科、小児歯科、歯科口腔外科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"879","POINT(137.010451372352 35.0934012048309)","いしだ歯科医院","名古屋市緑区亀が洞三丁目１４０３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"881","POINT(137.097724953929 34.9955887602277)","イシバシ歯科","安城市里町石橋２１―８４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"882","POINT(136.963339404245 34.969017356796)","いしはま台歯科医院","東浦町石浜字白山13-11","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"884","POINT(136.9549175 35.16065213)","いしはら歯科","名古屋市千種区鏡池通１－１－２","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"885","POINT(136.952616943944 35.1765479108406)","いしはら歯科クリニック","名古屋市千種区上野三丁目20番11号","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"886","POINT(136.863056593281 35.162656957163)","いしはら総合歯科","名古屋市中村区千成通３－３３","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"890","POINT(136.972206583686 35.2700688207118)","いずみ歯科クリニック","春日井市南下原町４－８－２","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"894","POINT(137.0817481 35.08859049)","いせ歯科クリニック","みよし市三好町弥栄96-1","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"896","POINT(137.120431157206 34.7922703937566)","いそがい歯科","西尾市西幡豆町中屋敷１０番地6","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"898","POINT(136.90271976701 35.1465122161445)","イソベ歯科","名古屋市中区金山一丁目４－９","歯科、歯科口腔外科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"899","POINT(136.93279633022 35.219780372223)","いそべ歯科クリニック","名古屋市北区楠味鋺五丁目２２０５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"900","POINT(136.833871 35.3018577)","イソベ歯科医院","一宮市北小渕字勝幡１５０","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"908","POINT(137.1780415 34.83624023)","いちかわ歯科","額田郡幸田町深溝字山脇６－１","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"909","POINT(137.1785993 34.80506987)","いちのＤＥＮＴＡＬ　ＣＬＩＮＩＣ","蒲郡市形原町北双太山１１４－１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"910","POINT(136.89932829466 35.2248296084069)","いちはら歯科","名古屋市西区比良１－１８７","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"911","POINT(136.73557075 35.2502614305556)","いちょうの木歯科","稲沢市祖父江町森上本郷十４８－３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"912","POINT(136.984668310214 35.1372072892426)","いちろう歯科","名古屋市天白区一本松二丁目１１０６番地","歯科、小児歯科、歯科口腔外科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"913","POINT(136.997590572451 34.9388501524581)","いづかファミリー歯科","高浜市神明町１丁目２－３６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"915","POINT(137.18018578218 34.9365064126862)","いとうｍ歯科","岡崎市竜美台２－５－１３","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"921","POINT(136.976653867422 35.133106516429)","いとう歯科","名古屋市天白区塩釜口一丁目712","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"922","POINT(136.8553527 35.16660156)","いとう歯科","名古屋市中村区乾出町２－２９","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"923","POINT(136.805910262775 35.1473338974191)","いとう歯科","名古屋市中川区戸田明正二丁目２８０６","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"924","POINT(137.3722797 34.73288845)","いとう歯科","豊橋市中野町字野中９－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"925","POINT(136.9757162 35.30255425)","いとう歯科","小牧市古雅3丁目22-3","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"926","POINT(137.0311359 35.30447475)","いとう歯科","春日井市神屋町694-6","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"927","POINT(136.966022798007 35.222565652255)","いとう歯科","春日井市松河戸町1丁目7番地3","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"928","POINT(136.975181601342 35.097489199588)","いとう歯科クリニック","名古屋市緑区篠の風一丁目９１８番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"929","POINT(136.939516018405 35.199823678706)","いとう歯科クリニック","名古屋市北区山田四丁目１番２２号","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"930","POINT(136.906371038047 35.1494831532225)","いとう歯科クリニック","名古屋市中区平和一丁目６－１４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"931","POINT(136.8955621 35.20781404)","いとう歯科クリニック","名古屋市西区江向町４－５９","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"932","POINT(137.3542339 34.80149197)","いとう歯科クリニック","豊川市伊奈町南山新田305の70","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"933","POINT(136.890312336822 35.2166637391325)","いとう歯科医院","名古屋市西区市場木町２８０番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"934","POINT(137.0545101 34.9994941)","いとう歯科医院","知立市新池３－１５","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"935","POINT(136.8018414 35.30281901)","いとう歯科医院","一宮市本町３－４－１４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"949","POINT(136.974031972773 35.1207097935989)","イナグマ歯科","名古屋市天白区島田一丁目１１１４","歯科、小児歯科、矯正歯科、歯科口腔外科、小児矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"950","POINT(136.9381426 35.09263912)","いなぐま歯科","名古屋市南区本城町３－３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"956","POINT(137.235346 34.822389)","いな歯科クリニック","蒲郡市府相町新井前８４３－１","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"957","POINT(137.119752054654 34.9897964600742)","いな歯科クリニック","岡崎市橋目町字御小屋西８１番地１","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"958","POINT(137.0764998 34.9881291)","いぬづか矯正歯科","安城市住吉町６－２－６","矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"959","POINT(136.92418145939 35.3680094782127)","いぬやま矯正歯科","犬山市上野前川田1280-1","矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"960","POINT(136.951129970951 35.3787345756532)","いぬやま歯科医院","犬山市松本町3-10","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"961","POINT(136.911185 34.9821833)","いのうえ歯科クリニック","東海市加木屋町２丁目２２４－１","歯科、小児歯科、歯科口腔外科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"969","POINT(136.929514 35.198752)","イマイ歯科","名古屋市北区御成通２－１５","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"970","POINT(137.0705577 35.22441949)","いまい歯科","瀬戸市北脇町276 サンワフードビル2階","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"972","POINT(136.792320022222 35.321740775)","いまえだ歯科","一宮市今伊勢町新神戸字乾２４","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"973","POINT(136.9920237 35.003699)","いまきた歯科医院","刈谷市高津波町７－７０３","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"975","POINT(137.0335503 35.1676715)","いまはし歯科クリニック","長久手市蟹原1305","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"977","POINT(136.90023544728 35.3610802344924)","いまむら歯科","丹羽郡扶桑町大字南山名字高塚5-1　（イオンモール扶桑1Ｆ）","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"978","POINT(137.065112 34.992585)","いまむら歯科矯正歯科","知立市昭和９－２","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"984","POINT(136.8547472 35.10879232)","いりば歯科医院","名古屋市港区入場２丁目１１０２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"985","POINT(136.741167989545 35.1894643009371)","いろどり歯科・こども歯科室","愛西市諏訪町中杁２９４－１","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"986","POINT(137.038712 35.28295247)","いわい歯科クリニック","春日井市岩成台9-3-9","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"987","POINT(136.850170211305 35.3346665444431)","いわい歯科医院","江南市東野町郷前西38","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"989","POINT(136.9645952 35.047883)","いわお歯科クリニック","名古屋市緑区桶狭間森前２００９番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"990","POINT(136.873357 35.279503)","いわくら駅前歯科","岩倉市本町神明西20　ｻｸﾗﾝﾄﾞ岩倉1F","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"994","POINT(136.9286296 35.3111859)","いわさきデンタルオフィス","小牧市岩崎5丁目141","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1004","POINT(136.9875914 35.0792079)","いわた歯科","名古屋市緑区大清水西203番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1005","POINT(137.044029824406 34.9780519909825)","いわた歯科","刈谷市板倉町１－６－６　エンゼルハイム１階１０６号","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1006","POINT(136.8659168 35.148341)","いわた歯科クリニック","名古屋市中川区南脇町２－５９","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1008","POINT(136.845320989719 35.1576626997546)","いわつか歯科クリニック","名古屋市中村区岩塚本通４－３７","歯科、歯科口腔外科、小児歯科、矯正歯科、小児矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1009","POINT(136.8689357 35.16314241)","いわま歯科クリニック","名古屋市中村区千成通１－５０－１","歯科、小児歯科、歯科口腔外科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1010","POINT(136.9785411 35.095796)","いわみ歯科クリニック","名古屋市緑区篠の風二丁目421番地の１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1011","POINT(137.0118678 35.2110348)","いんば歯科医院","尾張旭市印場元町2-5-2","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1012","POINT(136.912232218401 35.2006492514391)","ヴィータ歯科","名古屋市北区黒川本通４丁目３８","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1014","POINT(137.174492589352 34.9235596789972)","ウィングタウン歯科クリニック","岡崎市羽根町小豆坂３番地","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1016","POINT(136.7767529 35.15040067)","ウエダ歯科クリニック","津島市金柳町字神様田２２３","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1018","POINT(136.995981591105 35.1324946988545)","うえだ東歯科クリニック","名古屋市天白区植田東二丁目１６１８","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1021","POINT(136.9665625 35.0947602)","うえのだ歯科","名古屋市緑区池上台一丁目１７２番地","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1022","POINT(136.847152649763 35.1443942691034)","うえの歯科クリニック","名古屋市中川区野田一丁目141番地","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1023","POINT(136.839799333186 35.2998447280092)","うえの歯科クリニック","一宮市南小渕字屋敷２６－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1026","POINT(136.906400785166 35.1705913237798)","ウエムラ歯科医院","名古屋市中区錦三丁目１７－１０","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1029","POINT(137.352686957094 34.8320767512037)","ウェルネスやわた歯科医院","豊川市野口町新屋敷２７番地","歯科、歯科口腔外科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1030","POINT(137.161481043785 34.8899297216608)","うおずみ歯科クリニック","額田郡幸田町大字相見字蒲原５３","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1031","POINT(137.0167828 35.18930664)","うおずみ歯科医院","名古屋市名東区藤里町１８０１－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1034","POINT(136.762880110119 35.2887564915386)","うかい歯科","一宮市萩原町朝宮字長池２","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1038","POINT(137.426706245152 34.7422018315671)","ウチダ歯科","豊橋市飯村南四丁目７－１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1039","POINT(137.2397177 34.89981175)","うちだ歯科","岡崎市舞木町市場６５－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1041","POINT(136.841248197089 35.1403861848905)","うちで歯科","名古屋市中川区打出１丁目２２番地","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1043","POINT(137.400623 34.750498)","うちやま歯科クリニック","豊橋市向山町字川北１９－３","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1045","POINT(136.984067195931 35.0710526048996)","うばこやま歯科","名古屋市緑区姥子山二丁目1608番地","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1047","POINT(137.4786285 34.89208874)","ウメダ歯科医院","新城市野田字東町屋敷２３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1051","POINT(136.723832631691 35.1666779862328)","うらた歯科クリニック","愛西市柚木町山廻２１番１","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1053","POINT(136.908346160022 35.1640473997165)","ウララ矯正歯科クリニック","名古屋市中区栄三丁目31番7号","矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1054","POINT(137.055664551535 35.215809747284)","うりすクリニック","尾張旭市三郷町陶栄3","歯科、アレルギー科、小","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1057","POINT(136.762948 35.13114285)","えいわ歯科","愛西市大井町弥八１９","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1060","POINT(137.088278 34.91363715)","えがお歯科","安城市姫小川町北門原26-1","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1061","POINT(136.943744068232 35.1647042252675)","えがお歯科ＨＡＲＵＯＫＡ","名古屋市千種区春岡一丁目２５番１４号","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1062","POINT(136.8718573 35.24397033)","えきまえ歯科","北名古屋市九之坪東町７－２","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1063","POINT(136.883737939726 35.2670562000465)","えぐち歯科クリニック","小牧市藤島町居屋敷１８４","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1065","POINT(136.880179330225 35.1709766838413)","エスカ歯科・矯正歯科","名古屋市中村区椿町６番９号先","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1067","POINT(136.8826736 35.15753798)","エバ歯科医院","名古屋市中川区月島町２番１６号","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1068","POINT(136.855961418035 35.162932615876)","えびす歯科","名古屋市中村区千成通６－５","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1069","POINT(136.8739534 35.14859198)","エブリ歯科","名古屋市中川区長良町３－３８","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1070","POINT(137.020105467907 35.194675149819)","えぽっく歯科","尾張旭市庄南町4-150","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1072","POINT(136.903744095156 34.9886711796939)","エムズデンタルクリニック","東海市加木屋町柿畑１２８－２","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1073","POINT(136.7167945 35.11484293)","エムデンタルクリニック","弥富市五明町蒲原１３７１－４","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1074","POINT(137.0631787 35.21115486)","エムブランデンタル","尾張旭市狩宿町4-41-1 横地ビル1階","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1075","POINT(136.993644 34.903798)","エメラルドデンタルクリニック","碧南市鶴見町１－６２－１","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1077","POINT(136.988349880377 35.1256959626805)","エルザ歯科クリニック","名古屋市天白区植田南三丁目708","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1079","POINT(137.0010058 34.90133405)","エルム歯科","碧南市金山町５－３４","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1082","POINT(136.995259576119 34.8825110435786)","エンゼルデンタルクリニック","碧南市沢渡町８４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1084","POINT(136.995536 34.88206923)","エンゼル歯科","碧南市沢渡町９４番１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1085","POINT(137.1700977 34.98163303)","エンゼル歯科・矯正歯科","岡崎市鴨田本町５－８","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1086","POINT(136.9196202 35.20167101)","エンゼル歯科医院","名古屋市北区辻本通１－４６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1088","POINT(136.90781791765 35.1695907101144)","オアシス　デンタル　クリニック（OASIS DENTAL CLINIC）","名古屋市中区錦三丁目２５－１２","歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1091","POINT(137.039865023988 34.971183058877)","オアシス歯科医院東刈谷","刈谷市野田町沖野５３－４","歯科、小児歯科、矯正歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1094","POINT(136.781165477758 35.3507578124538)","おうぎ歯科","一宮市木曽川町黒田字酉新田東ノ切４２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1095","POINT(136.852111215839 35.1167234074212)","おうす歯科","名古屋市港区小碓一丁目５７３番地","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1096","POINT(136.974051958974 34.9784347267001)","オー，デンタルクリニック東浦","東浦町緒川字旭13-2　イオンモール東浦１階","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1097","POINT(136.903540972166 35.1577560856848)","オー，デンタルクリニック名古屋","名古屋市中区大須三丁目４４番４４号","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1098","POINT(136.773591072266 35.3489259229876)","オー,デンタルクリニック木曽川","一宮市木曽川町黒田南屋八ツヶ池２５番１イオンモール木曽川２階","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1099","POINT(136.747012 35.17543117)","オー、デンタルクリニック津島","津島市津島字北新開３５１　ヨシズヤ津島本店１階","歯科、小児歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1102","POINT(137.2711914 34.66266493)","おおかわ歯科","田原市東赤石４丁目21","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1103","POINT(136.8341486 35.3095237)","オーキッド歯科","一宮市小赤見字秋吉４番地","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1104","POINT(136.9195461 34.92201995)","おおぐち歯科","阿久比町大字椋岡字角前田53番地1","歯科、小児歯科、歯科口腔外科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1110","POINT(137.0208171 34.8509619)","おおさわ歯科","西尾市富山町大縄３５－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1113","POINT(136.968349 35.1752169)","オオシマ歯科","名古屋市千種区徳川山町５－１－１５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"1115","POINT(137.3832194 34.77202582)","おおすか歯科","豊橋市船町８０","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
